一	one
二	two
三	three
了	total
子	child
好	like
口	mouth
言	say
下	below
不	un
十	ten
古	old
計	measure
七	seven
比	compare
日	sun
早	early
白	white
皆	everyone
水	water
月	moon
明	bright
朝	morning
火	fire
可	possible
田	rice field
入	entrance
人	person
何	what
信	believe
化	transform
花	flower
内	inside
肉	meat
円	yen
目	eye
自	oneself
方	direction
万	ten thousand
文	sentence
心	heart
必	surely
怒	mad
息	breath
思	think
忙	busy
忘	forget
慢	patience
悪	bad
多	many
夢	dream
夜	late-night
名	name-famous
死	death
外	outside
上	above
点	point
安	cheap-safe
字	letter
八	eight
六	six
公	public
治	cure
始	begin
態	looks-like
立	stand-up
幸	luck-happiness
暗	dark
音	sound
意	meaning
間	a-period-of-time
問	question-problem
切	cut-important
分	understand-divide-minute
認	admit
力	power
男	man
九	the-number-9
丸	round
半	half
平	equal-level
呼	call-to-someone
小	small-size
少	a-little-amount
省	ministry-cut-down-on
糸	string
線	line
系	group-tribe
用	utilize
千	thousand
舌	tongue
話	conversation
活	vivid-lively
土	earth
黒	black
仕	work
結	bind
者	professional
緒	together
無	without
誰	who
止	stop
歩	walk
足	foot-be-enough
正	correct
定	plan
走	run
超	exceed-go-over
駅	train-station
昼	noon
訳	reason-translation
手	hand
払	pay
指	finger-point-at
担	carry-on-your-back
接	contact
耳	ear
取	take
最	most
恥	disgrace
作	make
昨	yesterday
近	near
辺	around-here
込	crowded
達	plural
木	tree
本	book
体	body
休	rest
新	new
想	idea
禁	prohibition
果	fruit
東	east
案	guide
杯	sake cup
保	guarantee
和	Japan
秘	secret
私	me
利	handy
秋	fall
未	not yet
味	flavor
米	rice
迷	perplexed
断	decision
菜	vegetable
来	come
番	number
大	big
然	nature
燃	burn
太	fat
漢	chinese
難	difficult
勤	be employed at
募	recruit
困	trouble
回	rotate
国	country
個	individual
王	king
理	reason
玉	ball
主	master
住	dwell
駐	stop at
害	damage
割	divide
素	element
青	blue
情	emotion
生	life
性	sex
乾	dessicate
母	mom
毒	poison
毎	every
海	ocean
悔	regret
中	middle
虫	insect
戸	door
居	live
所	area
戻	return
毛	fur
甘	sweet
見	look
焼	roast
現	present time
親	parents
兄	older brother
況	condition
貝	money
買	buy
質	quality
側	side of something
負	defeat
魚	fish
角	corner
触	touch
売	sell
続	continue
読	read
探	look for
深	deep
具	tool
元	original
完	complete
光	shining
西	west
酔	drunk
要	important
夫	husband
巣	habitat
消	erase
受	receive
愛	love
各	each
客	customer
落	drop
格	character
携	handheld
及	reach
級	level
扱	treatment
急	urgent
当	hit
帰	go back home
曜	day of the week
工	craft
空	air
与	bestow
写	copy
汚	dirty
号	id
考	think
式	ritual
代	generation
我	we
単	merely
戦	fight
機	machine
職	employment
識	be conscious
四	four
換	exchange
欠	lack
歌	sing
数	integer
政	politics
教	teach
敵	enemy
適	suitable
己	myself
起	wake up
記	diary
酒	liquor
配	distribute
産	childbirth-production-of-things
反	anti
返	respond
販	transaction
成	become
気	mood
減	decrease
感	feeling
旅	trip
遠	far
園	park
表	express
衣	cloth
袋	bag
裏	opposite side
良	good
娘	daughter
階	storey
状	circumstance
寝	go to bed
北	north
制	system
先	previous
洗	wash
面	mask
百	hundred
優	gentle
石	rock
山	mountain
鳥	bird
豆	bean
喜	rejoice
嬉	glad
頭	head
夏	summer
原	plain
願	wish
頑	stubborn
類	category
題	topic
川	river
訓	kunyomi
首	neck
道	street
説	explain
脱	get naked
前	before
￥	yen
羊	sheep
南	south
遅	slow
着	wear
義	righteousness
様	important person
天	heaven
笑	laugh
送	send
勝	win
弟	younger brother
弓	bow
強	strong
引	pull
赤	red
恋	passion
変	change
長	long
金	gold
銀	silver
茶	tea
全	all
食	eat
飲	drink
捨	throw away
余	excess
途	way
介	intervene
界	world
合	suit
今	now
念	concern
令	command
命	life
冷	cold thing
冬	winter
終	end
次	next
姿	figure
寒	cold
春	spring
実	truth
美	beauty
同	same
決	decide
快	pleasant
寸	glue
付	stick
守	protect
寺	temple
時	time
持	hold
尊	esteem
父	dad
交	combine
対	against
校	school
出	exit
世	society
葉	leaf
歯	tooth
悩	worry
画	drawing
両	both
満	full
短	short
族	family
知	know
失	lose
観	point of view
権	rights
確	assurance
車	car
重	heavy
乗	ride
連	take with
軍	army
運	carry
種	seed-type-or-kind
動	movement
働	to-do-your-job
非	injustice-mistake
悲	sad
排	eliminate
経	experience
怖	scary
右	right
左	left
若	young
有	exist
在	be-real
友	friend
暖	warm-place
髪	hair
影	shadow
顔	face
珍	very-rare
腐	rot
店	shop
座	sit
広	wide
席	seat
度	times
健	healthy
氏	mr-speculum-radical
紙	paper
低	low
眠	sleepy
曲	song-turn-or-bend
登	climb
祭	festival
察	police
開	open
発	launch
形	form
型	type-proper-way
午	noon
牛	cow
特	special
解	solve-untie
物	animal-thing
場	place
色	color
絶	extinct
声	voice
像	statue-image
家	home
行	go
後	afterwards-behind
待	wait
得	bargain-obtain
術	art-technique
育	grow-up-be-raised
倒	knock-down
去	past-tense
法	law
屋	store
伝	transmit
芸	art
会	big-meeting
絵	picture
熱	hot-thing-fever
抗	oppose
風	wind-the-flu-style
役	role
投	throw
殺	kill
真	really
直	correct-a-probem-direct-contact
値	price-or-ranking
別	separate
例	example
支	support
皮	skin
彼	him
予	beforehand
頼	ask-a-favor
速	fast
通	pass
病	sick-kanji
痛	hurts
疲	get-tired-from-hard-work
押	push
由	freedom-reason
偶	coincidence
雨	rain
業	business
僕	me-for-dudes
電	electricity
抱	hug
敬	respect
警	the-fuzz
驚	astonish
局	department
約	promise-roughly-speaking
的	motivation-al
盗	steal-by-stealth
温	hot-or-warm-thing
血	blood
般	general-overall
独	solitary
犯	commit-a-crime
御	the-honorific-o
危	dangerous
服	clothes
組	ones-team
助	save
社	company
神	god-kanji
礼	polite
乳	milk
初	first-time
欲	want
容	appearance
飛	fly
弱	weak
横	side-arrogant
共	with
普	normal
選	choose
暴	rampage
再	again-once-more
降	descend-rainfall-get-out-of-vehicle
年	year
五	five
語	language
違	different-and-therefore-wrong
料	ingredients-fees
図	diagram-map
使	use
身	ones-own-flesh
謝	apologize
地	area
他	other
館	big-hall
追	follow
労	labor
学	knowledge
覚	bear-in-mind
常	usual
調	check-out
週	week
高	tall
向	turn-to-face
過	surpass-too-much
楽	enjoy
薬	medicine
書	write
事	action-incident
康	health
君	buddy
争	battle
静	quiet
嫌	eww
残	remain-behind
基	basis
邪	heresy
逆	opposite
以	compared-to
似	resemble
段	step-stairs
興	interest
為	deed
偽	fake
聞	listen-ask
遊	play-around
